Наименование товара;Артикул;Розничная цена;Остаток на складе
Нагреватель для воды аквариума Newa Therm Next NTX300 220-240V 50Hz 300W с терморегулятором автоматический 100-400 л;00_87_005;3040.00;0
Нагреватель для воды аквариума Newa Therm Mini NWO-10P 230V 50Hz 10W автоматический до 15 л;00_35_056;1740.00;0
Нагреватель для воды аквариума Newa Therm Mini NWO-20K 230V 50Hz 20W автоматический до 30 л;00_35_057;1720.00;20
Нагреватель для воды аквариума Newa Therm Mini NWO-20P 230V 50Hz 20W автоматический до 30 л;00_35_058;1840.00;0
Помпа погружная для аквариума Newa Jet NJ400 400 л/час;00_34_060;1440.00;10
Помпа погружная для аквариума Newa Jet NJ600 600 л/час;00_34_061;1890.00;38
Помпа погружная для аквариума Newa Jet NJ800 многоцелевая 800 л/час;00_32_055;2310.00;37
Помпа погружная для аквариума Newa Jet NJ1200 многоцелевая 1200 л/час;00_32_056;2870.00;40
Помпа погружная для аквариума Newa Jet NJ1700 многофункциональная 1700 л/час;00_33_055;4670.00;8
Нагреватель для аквариума Newa Therm VTX25 220-240V 50Hz 25W с терморегулятором автоматический 20-30 л;00_12_560;1760.00;0
Нагреватель для аквариума Newa Therm VTX50 220-240V 50Hz 50W с терморегулятором автоматический 30-80 л;00_12_561;2190.00;24
Нагреватель для аквариума Newa Therm VTX75 220-240V 50Hz 75W с терморегулятором автоматический 20-100 л;00_12_562;1790.00;3
Нагреватель для аквариума Newa Therm VTX100 220-240V 50Hz 100W с терморегулятором автоматический 30-150 л;00_12_563;1790.00;0
Нагреватель для аквариума Newa Therm VTX150 220-240V 50Hz 150W с терморегулятором автоматический 50-200 л;00_12_564;1950.00;3
Нагреватель для аквариума Newa Therm VTX200 220-240V 50Hz 200W с терморегулятором автоматический 80-300 л;00_12_565;1950.00;0
Нагреватель для аквариума Newa Therm VTX250 220-240V 50Hz 250W с терморегулятором автоматический 100-400 л;00_12_566;2040.00;0
Нагреватель для аквариума Newa Therm VTX300 220-240V 50Hz 300W с терморегулятором автоматический 150-200 л;00_12_567;2540.00;24
Нагреватель для воды аквариума Newa Therm Eco VTO25 220-240V 50Hz 25W с терморегулятором автоматический 20-30 л;00_36_110;1270.00;8
Нагреватель для воды аквариума Newa Therm Eco VTO50 220-240V 50Hz 50W с терморегулятором автоматический 20-50 л;00_36_111;1600.00;21
Нагреватель для воды аквариума Newa Therm Eco VTO100 220-240V 50Hz 100W с терморегулятором автоматический 30-150 л;00_36_112;1370.00;7
Нагреватель для воды аквариума Newa Therm Eco VTO150 220-240V 50Hz 150W с терморегулятором автоматический 50-150 л;00_36_113;1750.00;24
Нагреватель для воды аквариума Newa Therm Eco VTO200 220-240V 50Hz 200W с терморегулятором автоматический 100-300 л;00_36_114;1810.00;11
